title,release_year,vote_average,vote_count,revenue,budget,adjusted_revenue,adjusted_budget,ROI,Profit_Margin,Sentiment,AverageRating
Inception,2010,8.364,34495,825532764,160000000,1166456184.0,226075811.4,4.159579775,0.806185766,Bad,8.8
Interstellar,2014,8.417,32571,701729206,165000000,898272710.8,211213949.8,3.252904279,0.764866563,Not bad,8.7
The Dark Knight,2008,8.512,30619,1004558444,185000000,1491272656.0,274633539.8,4.430045643,0.815839485,Not bad,9.0
Avatar,2009,7.573,29815,2923706026,237000000,4234398077.0,343246665.5,11.33631235,0.918938499,Not bad,7.9
The Avengers,2012,7.71,29166,1518815515,220000000,2042638012.0,295875541.3,5.903706886,0.855150281,Not bad,8.0
Deadpool,2016,7.606,28894,783100000,58000000,954131309.0,70667368.06,12.50172414,0.925935385,Bad,8.0
Avengers: Infinity War,2018,8.255,27713,2052415039,300000000,2380172212.0,347908025.5,5.841383463,0.853830734,Not bad,8.4
Fight Club,1999,8.438,27238,100853753,63000000,186977220.2,116798478.2,0.600853222,0.375333112,Disappointing,8.8
Guardians of the Galaxy,2014,7.906,26638,772776600,170000000,989219381.8,217614372.5,3.545744706,0.780014043,Not bad,8.0
Pulp Fiction,1994,8.488,25893,213900000,8500000,448669705.2,17829324.42,24.16470588,0.960261805,Not bad,8.9
Forrest Gump,1994,8.477,25409,677387716,55000000,1420866512.0,115366216.8,11.31614029,0.918805732,Not bad,8.8
Harry Potter and the Philosopher's Stone,2001,7.916,25379,976475550,125000000,1723099187.0,220576335.3,6.8118044,0.871988602,Not bad,
Iron Man,2008,7.64,24874,585174222,140000000,868694421.6,207830786.9,3.179815871,0.760755012,Bad,7.9
Django Unchained,2012,8.171,24672,425368238,100000000,572072989.5,134488882.4,3.25368238,0.764909575,Disappointing,8.5
The Shawshank Redemption,1994,8.702,24649,28341469,25000000,59448146.52,52439189.48,0.13365876,0.117900346,Not bad,9.3
Avengers: Endgame,2019,8.263,23857,2800000000,356000000,3167942996.0,402781323.8,6.865168539,0.872857143,Disappointing,8.4
The Matrix,1999,8.206,23815,463517383,63000000,859335316.7,116798478.2,6.357418778,0.864082767,Not bad,8.7
Titanic,1997,7.9,23637,2264162353,200000000,4410135473.0,389560003.7,10.32081177,0.911667112,Not bad,7.9
Joker,2019,8.168,23425,1074458282,55000000,1215650925.0,62227451.71,18.53560513,0.948811414,Disappointing,8.4
The Lord of the Rings: The Fellowship of the Ring,2001,8.402,23323,871368364,93000000,1537625924.0,164108793.5,8.369552301,0.893271315,Bad,8.8
The Lord of the Rings: The Return of the King,2003,8.474,22334,1118888979,94000000,1879265623.0,157880694.0,10.90307424,0.91598809,Disappointing,9.0
Shutter Island,2010,8.2,22318,294800000,80000000,416544682.4,113037905.7,2.685,0.728629579,Terrible,8.2
The Wolf of Wall Street,2013,8.035,22222,392000000,100000000,514337969.9,131208665.8,2.92,0.744897959,Not bad,8.2
Avengers: Age of Ultron,2015,7.276,21754,1405403694,365000000,1755156631.0,455834984.0,2.850421079,0.740288145,Bad,7.3
Captain America: Civil War,2016,7.4,21541,1155046416,250000000,1407311900.0,304600724.4,3.620185664,0.783558482,Not bad,7.8
The Dark Knight Rises,2012,7.777,21335,1081041287,250000000,1453880345.0,336222206.1,3.324165148,0.768741487,Bad,8.4
Iron Man 3,2013,6.928,21064,1215577205,200000000,1594942632.0,262417331.6,5.077886025,0.83546911,Disappointing,
Black Panther,2018,7.39,21053,1349926083,200000000,1565500394.0,231938683.6,5.749630415,0.85184374,Not bad,7.3
Doctor Strange,2016,7.427,20935,676343174,180000000,824058482.9,219312521.6,2.757462078,0.733862916,Not bad,7.5
Mad Max: Fury Road,2015,7.582,20911,378858340,150000000,473142151.7,187329445.5,1.525722267,0.604073649,Not bad,8.1
Inglourious Basterds,2009,8.215,20746,321457747,70000000,465566665.6,101380871.7,3.592253529,0.782241988,Disappointing,8.4
The Hunger Games,2012,7.193,20636,694394724,75000000,933883703.9,100866661.8,8.25859632,0.891992267,Bad,7.2
